time,prediction
2023-11-27,0
2023-11-28,0
2023-11-29,0
2023-11-30,1
2023-12-01,1
2023-12-04,0
2023-12-05,0
2023-12-06,0
2023-12-07,0
2023-12-08,0
2023-12-11,0
2023-12-12,0
2023-12-13,1
2023-12-14,0
2023-12-15,0
2023-12-18,1
2023-12-19,1
2023-12-20,0
2023-12-21,1
2023-12-22,0
2023-12-26,1
2023-12-27,1
2023-12-28,0
2023-12-29,1
2024-01-02,1
2024-01-03,1
2024-01-04,0
2024-01-05,0
2024-01-08,1
2024-01-09,0
2024-01-10,1
2024-01-11,0
2024-01-12,0
2024-01-15,0
2024-01-16,0
2024-01-17,1
2024-01-18,0
2024-01-19,0
2024-01-22,1
2024-01-23,0
2024-01-24,1
2024-01-25,0
2024-01-26,1
2024-01-29,0
2024-01-30,0
2024-01-31,0
2024-02-01,1
2024-02-02,0
2024-02-05,1
2024-02-06,1
2024-02-07,0
2024-02-08,0
2024-02-09,0
2024-02-12,0
2024-02-13,0
2024-02-14,1
2024-02-15,1
2024-02-16,0
2024-02-19,1
2024-02-20,0
2024-02-21,1
2024-02-22,0
2024-02-23,0
2024-02-26,0
2024-02-27,0
2024-02-28,0
2024-02-29,0
2024-03-01,1
2024-03-04,0
2024-03-05,0
2024-03-06,1
2024-03-07,0
2024-03-08,0
2024-03-11,0
2024-03-12,0
2024-03-13,0
2024-03-14,1
2024-03-15,1
2024-03-18,1
2024-03-19,1
2024-03-20,1
2024-03-21,0
2024-03-22,1
2024-03-25,1
2024-03-26,0
2024-03-27,1
2024-03-28,0
2024-03-29,1
2024-04-01,1
2024-04-02,1
2024-04-03,1
2024-04-04,0
2024-04-05,0
2024-04-08,0
2024-04-09,0
2024-04-10,0
2024-04-11,1
2024-04-12,0
2024-04-15,1
2024-04-16,1
2024-04-17,1
2024-04-18,0
2024-04-19,1
2024-04-22,1
2024-04-23,1
2024-04-24,0
2024-04-25,0
2024-04-26,0
2024-04-29,0
2024-04-30,0
2024-05-01,1
2024-05-02,0
2024-05-03,0
2024-05-06,1
2024-05-07,1
2024-05-08,1
2024-05-09,0
2024-05-10,0
2024-05-13,1
2024-05-14,0
2024-05-15,0
2024-05-16,0
2024-05-17,0
2024-05-20,0
2024-05-21,0
2024-05-22,0
2024-05-23,0
2024-05-24,1
2024-05-27,0
2024-05-28,0
2024-05-29,1
2024-05-30,1
2024-05-31,0
2024-06-03,1
2024-06-04,0
2024-06-05,0
2024-06-06,0
2024-06-07,0
2024-06-10,1
2024-06-11,0
2024-06-12,1
2024-06-13,0
2024-06-14,1
2024-06-17,1
2024-06-18,1
2024-06-19,1
2024-06-20,0
2024-06-21,1
2024-06-24,1
2024-06-25,0
2024-06-26,0
2024-06-27,1
2024-06-28,0
2024-07-01,1
2024-07-02,0
2024-07-03,0
2024-07-04,0
2024-07-05,0
2024-07-08,0
2024-07-09,0
2024-07-10,0
2024-07-11,0
2024-07-12,0
2024-07-15,0
2024-07-16,0
2024-07-17,0
2024-07-18,0
2024-07-19,1
2024-07-22,1
2024-07-23,0
2024-07-24,0
2024-07-25,1
2024-07-26,1
2024-07-29,0
2024-07-30,1
2024-07-31,1
2024-08-01,1
2024-08-02,1
2024-08-05,0
2024-08-06,1
2024-08-07,1
2024-08-08,0
2024-08-09,0
2024-08-12,0
2024-08-13,0
2024-08-14,0
2024-08-15,0
2024-08-16,0
2024-08-19,0
2024-08-20,0
2024-08-21,0
2024-08-22,0
2024-08-23,0
2024-08-26,0
2024-08-27,0
2024-08-28,0
2024-08-29,0
2024-08-30,1
2024-09-02,0
2024-09-03,0
2024-09-04,1
2024-09-05,0
2024-09-06,0
2024-09-09,1
2024-09-10,1
2024-09-11,1
2024-09-12,1
2024-09-13,0
2024-09-16,1
2024-09-17,0
2024-09-18,1
2024-09-19,0
2024-09-20,0
2024-09-23,0
2024-09-24,0
2024-09-25,0
2024-09-26,1
2024-09-27,0
2024-09-30,1
2024-10-01,0
2024-10-02,1
2024-10-03,1
2024-10-04,1
2024-10-07,1
2024-10-08,1
